AnimalID,DateTime_Intake,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,Result,year,month
A797495,2019-06-14 11:34:00,Stray,Normal,Dog,Neutered Male,0.25,Cairn Terrier,dark,2019-06-15 12:44:00,2019-02-14 00:00:00,Neutered Male,0.25,0.0,2019,6
A801314,2019-08-02 14:43:00,Stray,Nursing,Cat,Unknown,0.038461538461538464,Domestic Shorthair,light,2019-08-02 18:22:00,2019-07-18 00:00:00,Unknown,0.038461538461538464,0.0,2019,8
A699842,2015-05-19 12:33:00,Owner Surrender,Normal,Dog,Spayed Female,0.25,Chihuahua Shorthair Mix,light,2015-05-23 14:03:00,2015-01-23 00:00:00,Spayed Female,0.25,0.0,2015,5
A801561,2019-08-05 18:31:00,Stray,Normal,Cat,Intact Male,0.25,Domestic Shorthair,dark,2019-09-02 17:22:00,2019-04-09 00:00:00,Neutered Male,0.3333333333333333,0.0,2019,8
A792521,2019-04-11 16:57:00,Owner Surrender,Normal,Dog,Intact Female,0.16666666666666666,Chihuahua Shorthair/Dachshund,medium,2019-04-13 11:20:00,2019-01-20 00:00:00,Spayed Female,0.16666666666666666,0.0,2019,4
A667481,2013-11-18 17:58:00,Stray,Normal,Dog,Intact Male,2.0,Rottweiler Mix,dark,2013-11-20 18:56:00,2011-11-18 00:00:00,Neutered Male,2.0,0.0,2013,11
A773647,2018-06-04 06:56:00,Stray,Injured,Bird,Unknown,1.0,Quaker Mix,Green,2018-06-04 13:08:00,2017-06-04 00:00:00,Unknown,1.0,0.0,2018,6
A719762,2016-01-27 12:53:00,Stray,Normal,Dog,Intact Female,0.07692307692307693,Pit Bull Mix,dark,2016-01-28 18:37:00,2015-12-27 00:00:00,Intact Female,0.07692307692307693,0.0,2016,1
A798690,2019-06-29 12:20:00,Stray,Normal,Dog,Intact Male,5.0,Chihuahua Shorthair,dark,2019-07-03 16:51:00,2014-06-29 00:00:00,Neutered Male,5.0,0.0,2019,6
A736195,2016-10-06 13:02:00,Stray,Normal,Cat,Intact Male,0.057692307692307696,Domestic Medium Hair Mix,dark,2016-10-06 15:39:00,2016-09-14 00:00:00,Intact Male,0.057692307692307696,0.0,2016,10
A771959,2018-05-12 15:07:00,Stray,Normal,Dog,Intact Male,16.0,Chihuahua Shorthair Mix,light,2018-05-13 16:17:00,2002-04-13 00:00:00,Intact Male,16.0,0.0,2018,5
A722182,2016-03-12 11:35:00,Owner Surrender,Normal,Cat,Intact Female,3.0,Domestic Shorthair Mix,dark,2016-03-31 13:31:00,2013-03-12 00:00:00,Spayed Female,3.0,0.0,2016,3
