Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A797495,Ace,06/14/2019 11:34:00 AM,06/14/2019 11:34:00 AM,6814 East Riverside Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,3 months,Cairn Terrier,Black/Tan,Ace,06/15/2019 12:44:00 PM,06/15/2019 12:44:00 PM,02/14/2019,Dog,Neutered Male,3 months,Cairn Terrier,Black/Tan,0.0
A801314,,08/02/2019 02:43:00 PM,08/02/2019 02:43:00 PM,11709 Morning View Drive in Travis (TX),Stray,Nursing,Cat,Unknown,2 weeks,Domestic Shorthair,Orange Tabby,,08/02/2019 06:22:00 PM,08/02/2019 06:22:00 PM,07/18/2019,Cat,Unknown,2 weeks,Domestic Shorthair,Orange Tabby,0.0
A699842,Princess,05/19/2015 12:33:00 PM,05/19/2015 12:33:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,White/Brown,Princess,05/23/2015 02:03:00 PM,05/23/2015 02:03:00 PM,01/23/2015,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,White/Brown,0.0
A801561,Toby,08/05/2019 06:31:00 PM,08/05/2019 06:31:00 PM,3400 Catalina Drive in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair,Black/White,Toby,09/02/2019 05:22:00 PM,09/02/2019 05:22:00 PM,04/09/2019,Cat,Neutered Male,4 months,Domestic Shorthair,Black/White,0.0
A792521,Tiny,04/11/2019 04:57:00 PM,04/11/2019 04:57:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Chihuahua Shorthair/Dachshund,Tan,Tiny,04/13/2019 11:20:00 AM,04/13/2019 11:20:00 AM,01/20/2019,Dog,Spayed Female,2 months,Chihuahua Shorthair/Dachshund,Tan,0.0
A667481,Rocco,11/18/2013 05:58:00 PM,11/18/2013 05:58:00 PM,1700 Ledgewood Dr in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Rottweiler Mix,Black/Brown,Rocco,11/20/2013 06:56:00 PM,11/20/2013 06:56:00 PM,11/18/2011,Dog,Neutered Male,2 years,Rottweiler Mix,Black/Brown,0.0
A773647,,06/04/2018 06:56:00 AM,06/04/2018 06:56:00 AM,4434 Frontier Trl in Austin (TX),Stray,Injured,Bird,Unknown,1 year,Quaker Mix,Green/Gray,,06/04/2018 01:08:00 PM,06/04/2018 01:08:00 PM,06/04/2017,Bird,Unknown,1 year,Quaker Mix,Green/Gray,0.0
A719762,Rillo,01/27/2016 12:53:00 PM,01/27/2016 12:53:00 PM,1515 Grove Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,4 weeks,Pit Bull Mix,Chocolate/White,Rillo,01/28/2016 06:37:00 PM,01/28/2016 06:37:00 PM,12/27/2015,Dog,Intact Female,4 weeks,Pit Bull Mix,Chocolate/White,0.0
A798690,,06/29/2019 12:20:00 PM,06/29/2019 12:20:00 PM,Wickham Lane And Etheredge Drive in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Chihuahua Shorthair,Black/Tricolor,,07/03/2019 04:51:00 PM,07/03/2019 04:51:00 PM,06/29/2014,Dog,Neutered Male,5 years,Chihuahua Shorthair,Black/Tricolor,0.0
A736195,,10/06/2016 01:02:00 PM,10/06/2016 01:02:00 PM,12112 Scribe Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Brown Tabby/White,,10/06/2016 03:39:00 PM,10/06/2016 03:39:00 PM,09/14/2016,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Brown Tabby/White,0.0
